nama_variable,nama_kebangsaan,nama_tahun,nama_bulan,jumlah_kunjungan
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,Januari,17
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,Februari,6
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,Maret,28
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,April,53
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,Mei,169
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,Juni,254
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,Juli,349
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,Agustus,543
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,September,488
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,Oktober,486
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,November,748
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,Desember,1657
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Brunei Darussalam,2022,Tahunan,4798
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,Januari,55214
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,Februari,46894
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,Maret,54006
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,April,63079
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,Mei,95099
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,Juni,95277
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,Juli,124849
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,Agustus,112314
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,September,124445
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,Oktober,131169
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,November,121035
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,Desember,189193
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Malaysia,2022,Tahunan,1212574
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,Januari,1405
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,Februari,1461
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,Maret,2030
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,April,2853
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,Mei,3900
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,Juni,5811
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,Juli,7827
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,Agustus,7996
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,September,9185
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,Oktober,10751
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,November,11416
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,Desember,13801
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Philippines,2022,Tahunan,78436
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,Januari,2199
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,Februari,2237
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,Maret,5335
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,April,15106
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,Mei,27671
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,Juni,57218
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,Juli,67758
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,Agustus,70621
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,September,95549
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,Oktober,94172
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,November,107705
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,Desember,191226
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Singapore,2022,Tahunan,736797
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,Januari,832
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,Februari,600
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,Maret,1019
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,April,1465
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,Mei,2666
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,Juni,4882
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,Juli,7632
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,Agustus,7234
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,September,7430
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,Oktober,10471
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,November,8154
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,Desember,8743
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Thailand,2022,Tahunan,61128
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,Januari,309
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,Februari,490
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,Maret,531
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,April,981
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,Mei,1846
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,Juni,6402
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,Juli,10559
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,Agustus,12097
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,September,10377
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,Oktober,9484
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,November,7434
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,Desember,7557
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Vietnam,2022,Tahunan,68067
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,Januari,6
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,Februari,3
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,Maret,14
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,April,12
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,Mei,41
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,Juni,83
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,Juli,215
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,Agustus,78
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,September,112
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,Oktober,191
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,November,168
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,Desember,179
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Laos,2022,Tahunan,1102
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,Januari,45
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,Februari,42
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,Maret,56
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,April,84
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,Mei,223
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,Juni,319
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,Juli,830
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,Agustus,549
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,September,568
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,Oktober,648
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,November,913
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,Desember,668
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Kamboja,2022,Tahunan,4945
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Myanmar/Burma,2022,Januari,507
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Myanmar/Burma,2022,Februari,434
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Myanmar/Burma,2022,Maret,578
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Myanmar/Burma,2022,April,726
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Myanmar/Burma,2022,Mei,1106
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Myanmar/Burma,2022,Juni,1728
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Myanmar/Burma,2022,Juli,2402
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Myanmar/Burma,2022,Agustus,2179
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Myanmar/Burma,2022,September,2229
Kunjungan Wisatawan Mancanegara per bulan Menurut Kebangsaan,Myanmar/Burma,2022,Oktober,3131
